Date,Open,High,Low,Close,Volume,Market.Cap,Coin
2016-06-08,577.1700000000001,582.8399999999999,573.13,581.64,80265800,902225e4,Bitcoin
2016-06-09,582.2,582.2,570.9499999999999,574.63,71301e3,910308e4,Bitcoin
2016-06-10,575.8399999999999,579.13,573.3299999999999,577.47,66991900,900592e4,Bitcoin
2016-06-11,578.6700000000001,607.12,578.6700000000001,606.73,82357e3,905236e4,Bitcoin
2016-06-12,609.6800000000001,684.8399999999999,607.04,672.7800000000001,277085e3,953985e4,Bitcoin
2016-06-13,671.65,716,664.49,704.38,243295e3,105119e5,Bitcoin
2016-06-14,704.5,704.5,662.8,685.56,186694e3,110289e5,Bitcoin
2016-06-15,685.6800000000001,696.3,672.56,694.47,99223800,107366e5,Bitcoin
2016-06-16,696.52,773.72,696.52,766.31,271634e3,109089e5,Bitcoin
2016-06-17,768.49,775.3599999999999,716.56,748.91,363321e3,120389e5,Bitcoin
2016-06-18,748.76,777.99,733.93,756.23,252718e3,117326e5,Bitcoin
2016-06-19,756.69,766.62,745.63,763.7800000000001,136185e3,118598e5,Bitcoin
2016-06-20,763.93,764.08,732.73,737.23,174511e3,119767e5,Bitcoin
2016-06-21,735.88,735.88,639.07,666.65,309944e3,1154e7,Bitcoin
2016-06-22,665.91,678.6700000000001,587.48,596.12,266393e3,104453e5,Bitcoin
2016-06-23,597.4399999999999,629.3299999999999,558.14,623.98,253462e3,937319e4,Bitcoin
2016-06-24,625.58,681.73,625.2700000000001,665.3,224317e3,981673e4,Bitcoin
2016-06-25,665.2800000000001,691.73,646.56,665.12,126656e3,10442e6,Bitcoin
2016-06-26,665.93,665.98,616.93,629.37,109225e3,104549e5,Bitcoin
2016-06-27,629.3499999999999,655.2700000000001,620.52,655.2700000000001,122134e3,988284e4,Bitcoin
2016-06-28,658.1,659.25,637.7700000000001,647,138385e3,103368e5,Bitcoin
2016-06-29,644.12,644.6800000000001,628.2800000000001,639.89,142456e3,101196e5,Bitcoin
2016-06-30,640.59,675.4,636.61,673.3399999999999,13898e4,100664e5,Bitcoin
2016-07-01,672.51,686.15,669.59,676.3,134431e3,105706e5,Bitcoin
2016-07-02,676.73,703.7,676.4,703.7,112354e3,106396e5,Bitcoin
2016-07-03,704.97,704.97,649.01,658.66,129512e3,110861e5,Bitcoin
2016-07-04,658.8,683.66,650.51,683.66,92008400,103627e5,Bitcoin
2016-07-05,683.21,683.49,665.07,670.63,130476e3,107491e5,Bitcoin
2016-07-06,670.42,681.9,670.42,677.3299999999999,134961e3,105503e5,Bitcoin
2016-07-07,678.09,682.43,611.8299999999999,640.56,258091e3,106734e5,Bitcoin
2016-07-08,640.69,666.71,636.47,666.52,14197e4,100869e5,Bitcoin
2016-07-09,666.38,666.38,633.4,650.9599999999999,180536e3,104938e5,Bitcoin
2016-07-10,650.6,652.2900000000001,641.26,649.3599999999999,102532e3,102473e5,Bitcoin
2016-07-11,648.48,659.63,644.98,647.66,10791e4,102152e5,Bitcoin
2016-07-12,648.2800000000001,675.26,646.7800000000001,664.55,138173e3,102131e5,Bitcoin
2016-07-13,664.8,668.7,654.47,654.47,131449e3,104745e5,Bitcoin
2016-07-14,652.92,662.9,652.92,658.08,98511400,102884e5,Bitcoin
2016-07-15,659.1700000000001,667.08,659.04,663.25,81673100,103879e5,Bitcoin
2016-07-16,663.7800000000001,666.4599999999999,659.3299999999999,660.7700000000001,50330200,104617e5,Bitcoin
2016-07-17,661.99,682.37,661.99,679.4599999999999,74407900,104347e5,Bitcoin
2016-07-18,679.81,681.55,668.63,673.11,69465e3,107168e5,Bitcoin
2016-07-19,672.74,673.2800000000001,667.63,672.8599999999999,61203300,106065e5,Bitcoin
2016-07-20,672.81,672.93,663.3599999999999,665.6800000000001,94636400,106086e5,Bitcoin
2016-07-21,665.23,666.22,660.41,665.01,60491800,104903e5,Bitcoin
2016-07-22,664.92,666.58,646.72,650.62,134169e3,104866e5,Bitcoin
2016-07-23,650.73,656.37,648.52,655.56,69532200,102637e5,Bitcoin
2016-07-24,655.41,663.11,652.7900000000001,661.2800000000001,118184e3,103386e5,Bitcoin
2016-07-25,661.26,661.8299999999999,653.39,654.1,78176500,104319e5,Bitcoin
2016-07-26,654.23,656.23,645.88,651.7800000000001,225135e3,103219e5,Bitcoin
2016-07-27,651.63,657.4599999999999,648.4499999999999,654.3499999999999,147461e3,102819e5,Bitcoin
2016-07-28,654.49,657.6,654.49,655.03,86428400,103281e5,Bitcoin
2016-07-29,655.11,657.8,654.7900000000001,656.99,60703500,103389e5,Bitcoin
2016-07-30,657.01,658.22,654.21,655.05,38456100,103701e5,Bitcoin
2016-07-31,655.1,655.2800000000001,624.37,624.6800000000001,110818e3,103409e5,Bitcoin
2016-08-01,624.6,626.12,605.88,606.2700000000001,121887e3,986062e4,Bitcoin
2016-08-02,606.4,612.8499999999999,531.3299999999999,547.47,330933e3,957432e4,Bitcoin
2016-08-03,548.66,573.3599999999999,541.55,566.3599999999999,207982e3,866367e4,Bitcoin
2016-08-04,566.3299999999999,579.5,565.7800000000001,578.2900000000001,125292e3,894387e4,Bitcoin
2016-08-05,578.2800000000001,578.2800000000001,569.98,575.04,66127900,913369e4,Bitcoin
2016-08-06,575.03,588.4,569.47,587.7800000000001,80797300,908351e4,Bitcoin
2016-08-07,587.7700000000001,597.51,586.8199999999999,592.69,82398400,928594e4,Bitcoin
2016-08-08,592.74,592.99,588.05,591.05,61194100,936544e4,Bitcoin
2016-08-09,591.04,591.09,584.7900000000001,587.8,92228100,933966e4,Bitcoin
2016-08-10,587.65,599.98,586.37,592.1,102905e3,928696e4,Bitcoin
2016-08-11,592.12,597.54,589.12,589.12,74514400,935877e4,Bitcoin
2016-08-12,588.8,589.91,583.81,587.56,69218e3,930725e4,Bitcoin
2016-08-13,587.3599999999999,589.7700000000001,584.98,585.59,43563e3,928553e4,Bitcoin
2016-08-14,585.59,585.6700000000001,564.7800000000001,570.47,60851100,925873e4,Bitcoin
2016-08-15,570.49,573.58,563.24,567.24,57262300,902118e4,Bitcoin
2016-08-16,567.24,581.74,566.72,577.4399999999999,58405200,897077e4,Bitcoin
2016-08-17,577.76,580.89,571.43,573.22,54443e3,913803e4,Bitcoin
2016-08-18,573.71,577.7900000000001,573.43,574.3199999999999,59896600,907476e4,Bitcoin
2016-08-19,574.3399999999999,578.24,574.1800000000001,575.63,50631600,908582e4,Bitcoin
2016-08-20,576.08,582.8199999999999,575.4599999999999,581.7,45301400,91145e5,Bitcoin
2016-08-21,581.9399999999999,584.16,580.22,581.31,38299400,920821e4,Bitcoin
2016-08-22,581.31,588.4499999999999,580.59,586.75,72844e3,919941e4,Bitcoin
2016-08-23,586.7700000000001,589.47,581.63,583.41,85349200,928693e4,Bitcoin
2016-08-24,583.41,583.59,579.8599999999999,580.1800000000001,56328200,92348e5,Bitcoin
2016-08-25,580.1800000000001,580.4499999999999,575.1700000000001,577.76,13613e4,91847e5,Bitcoin
2016-08-26,577.75,580.62,576.8599999999999,579.65,48856800,914717e4,Bitcoin
2016-08-27,579.4499999999999,579.8499999999999,568.63,569.9499999999999,59698300,917499e4,Bitcoin
2016-08-28,569.8299999999999,574.04,569.74,573.91,86301600,902361e4,Bitcoin
2016-08-29,574.07,576.2800000000001,573.47,574.11,110398e3,909183e4,Bitcoin
2016-08-30,574.11,578.3599999999999,574.11,577.5,70342400,909353e4,Bitcoin
2016-08-31,577.59,577.8599999999999,573.64,575.47,75840900,914973e4,Bitcoin
2016-09-01,575.55,576.31,571.81,572.3,76923400,911828e4,Bitcoin
2016-09-02,572.41,575.64,570.81,575.54,79910800,906955e4,Bitcoin
2016-09-03,575.55,599.5,574.06,598.21,159014e3,912044e4,Bitcoin
2016-09-04,598.59,611.8399999999999,596.8499999999999,608.63,97942900,948637e4,Bitcoin
2016-09-05,608.99,609.05,602.24,606.59,82446800,965249e4,Bitcoin
2016-09-06,606.51,610.8299999999999,605.09,610.4399999999999,78529100,961414e4,Bitcoin
2016-09-07,610.57,614.54,608.51,614.54,75032400,967961e4,Bitcoin
2016-09-08,614.63,628.7700000000001,613.8399999999999,626.3199999999999,86713e3,974512e4,Bitcoin
2016-09-09,626.3499999999999,626.8299999999999,620.26,622.8599999999999,64550200,993198e4,Bitcoin
2016-09-10,622.93,625.1,622.39,623.51,45016800,987873e4,Bitcoin
2016-09-11,623.42,628.8199999999999,600.51,606.72,73610800,988778e4,Bitcoin
2016-09-12,607,608.4599999999999,605.41,608.24,72812300,962856e4,Bitcoin
2016-09-13,608.02,611.19,606.92,609.24,86920600,964593e4,Bitcoin
2016-09-14,608.8399999999999,611.9499999999999,608.41,610.6800000000001,47877700,966008e4,Bitcoin
2016-09-15,610.59,611.09,607.15,607.15,59464600,968894e4,Bitcoin
2016-09-16,607.25,609.26,606.74,606.97,64963400,963702e4,Bitcoin
2016-09-17,607.22,607.8599999999999,605.19,605.98,37140300,96376e5,Bitcoin
2016-09-18,606.2800000000001,610.16,605.8599999999999,609.87,48679400,962395e4,Bitcoin
2016-09-19,609.87,610.93,608.2700000000001,609.23,54796400,968196e4,Bitcoin
2016-09-20,609.25,609.52,607.9399999999999,608.31,72710900,967314e4,Bitcoin
2016-09-21,603.59,603.59,595.88,597.15,82776200,958426e4,Bitcoin
2016-09-22,597.2800000000001,598.49,596.21,596.3,67085300,948528e4,Bitcoin
2016-09-23,596.2,603.21,595.7900000000001,602.8399999999999,51067e3,946913e4,Bitcoin
2016-09-24,602.9599999999999,604.58,602.04,602.63,35359500,957752e4,Bitcoin
2016-09-25,602.75,603.38,599.71,600.8299999999999,33977800,957536e4,Bitcoin
2016-09-26,600.81,608.14,600.3499999999999,608.04,59153800,954583e4,Bitcoin
2016-09-27,608.02,608.25,604.11,606.1700000000001,49422400,966159e4,Bitcoin
2016-09-28,606.24,606.59,604.61,604.73,48722600,963453e4,Bitcoin
2016-09-29,605.02,606.8199999999999,604.8499999999999,605.69,55658600,961616e4,Bitcoin
2016-09-30,605.72,609.74,604.14,609.74,56122400,962825e4,Bitcoin
2016-10-01,609.93,615.24,609.93,613.98,56357e3,969628e4,Bitcoin
2016-10-02,613.9499999999999,614,609.6800000000001,610.89,39249800,976133e4,Bitcoin
